"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"NUDT5",3.6,1.1,1.3,1.3,0.61,1.3,0.78,0.89,0.82,1,4.1,1.3,2.6,1.7,0.61,1.3,1.5,0.97,0.88,0.92,1.1,2.7,0.59,1.4,1.2,0.9,0.81,0.71,0.77,0.16,1.2,1.5,2.6
"NUDT6",0.5,1,0.91,0.84,0.73,0.66,2,0.85,1,0.91,1.5,1,0.49,1.4,1.2,0.88,1.5,0.96,0.6,0.89,1.1,1.5,1.9,0.4,1,0.87,1,1,0.74,1.8,0.42,2,2
"NUDT7",0.38,1.2,1.1,0.71,1.2,0.91,0.36,1.4,0.88,1.3,0.29,1,0.54,0.59,0.49,1.1,0.99,1.1,0.57,0.92,0.71,0.98,0.54,0.4,0.59,0.83,0.93,1.4,1.3,0.74,0.72,1.1,0.84
"NUDT8",2,1.1,1.1,0.62,0.9,0.76,0.93,1.3,1.1,0.87,0.96,0.93,0.56,1.9,0.72,1.1,0.99,0.81,1.4,0.85,1.4,0.2,1.1,1.3,1.3,1.3,0.84,1,0.64,0.95,1.3,1.1,0.87
"NUDT9",1.3,1,0.97,1,0.8,0.57,1.2,1,1.3,0.93,2.2,1,0.78,0.9,1.4,1.1,1,1.1,0.72,1.1,0.84,3.8,0.78,0.79,0.85,0.91,1,0.46,0.68,1.1,0.74,1.5,1.9
"NUF2",1,0.87,1.3,1,1.7,1,0.87,1.1,0.7,1.1,3.8,1,2.7,0.93,1,1,1.6,0.97,1,1,1.7,5.3e+08,3.3,1.4,1.7,1.1,0.99,0.23,1.5,0.19,1.3,0.8,1.4
"NUFIP1",2.3,1.1,1.2,1.7,1.9,1.1,0.79,1.1,0.83,1.3,2.3,0.59,0.87,1.2,0.81,1,1.1,0.92,1.5,1.2,1.1,1.9,1.5,0.59,1.4,1.4,1,0.93,1.6,0.45,0.42,0.8,1.4
"NUFIP1P",1,1,1,1,1,0.93,1.4,1,0.91,1.1,1,1.1,1,1,0.98,1,1,0.84,1,1.2,1,1,1,0.63,1,0.88,0.69,9.5e+08,1,1,1,0.78,1
"NUFIP2",1.7,1.1,1.1,1.4,0.68,1.1,2.3,0.98,1,0.87,9.9,0.75,1.4,1.4,1.8,1.5,1.2,1.1,1.9,1.2,1.5,1.1,2.7,0.35,1.1,1.1,0.99,3,1.7,1.5,1.5,0.9,0.97
"NUGGC",0.72,0.96,0.86,0.69,0.77,0.71,0.68,1.1,1.4,0.64,3.3,0.71,1.1,1.5,1.6,0.72,0.65,1.3,0.44,0.78,1.2,8.4e+08,2.1,0.7,0.61,1,1.1,6.2e+08,0.92,3.6,0.84,0.88,1
"NUMA1",2.5,0.89,0.81,1.1,0.83,1.2,2.2,0.84,0.93,0.89,1.2,0.79,1.1,0.99,0.79,1.1,0.97,0.88,0.57,1.3,0.89,4.3,2.3,0.69,0.73,0.93,1.2,1.3,0.59,1.4,0.88,0.79,1.3
"NUMB",2.5,1.2,0.98,1.5,1.2,1.2,1.2,0.73,1.2,0.96,3.9,0.54,0.75,1,1.6,1,1.3,1.2,0.9,1.3,1.6,1.2,1.4,0.56,1.1,1.2,1.2,1.3,0.88,0.85,0.79,0.89,0.94
"NUMBL",1,1.1,0.8,1.3,1.3,1.6,1.7,0.75,1.1,1.2,0.81,1,2.7,1.3,1,1.1,1.5,0.98,1.3,1.4,0.91,1.5,3,1.1,0.82,1.2,1.3,0.43,1,1,2.8,0.76,3
"NUP107",2.2,1.1,0.95,0.98,1.1,1,1.3,1,1.1,0.86,8.9,0.9,1.5,1.1,1,1.6,1.4,0.85,1.8,0.89,1.3,1.3,3.7,0.37,1.5,1.2,0.92,1.9,1.3,0.37,1,0.69,2
"NUP133",1,1.1,1.2,1.4,1.2,1.1,1,1.5,0.85,1,2.5,0.61,1.2,1.1,0.97,1.6,1.2,0.76,1,0.88,0.71,2.3,0.57,0.7,0.93,1.1,1,0.76,3.2,0.63,0.72,0.87,1.6
"NUP153",1.6,1.2,0.94,1.3,0.66,0.97,2.2,1.1,0.87,0.85,3.2,0.65,1.5,1.2,1.5,1.3,1.2,1,1.5,0.86,1,2.1,1.9,0.31,1.7,1.4,1.3,1.3,3.1,0.48,0.96,0.97,0.69
"NUP155",3,1.1,1.2,1,0.79,0.59,0.53,1.1,0.84,0.94,9.5,0.61,2.5,1.4,1.3,2,1.2,0.86,1.8,0.99,1.7,1.2,1.6,0.44,1.3,0.88,1.3,1,4.3,0.25,1.4,0.72,1.8
"NUP160",2,1.3,0.82,1.2,0.5,1.1,2.2,1.2,1.1,0.92,3.3,1,1,1.4,1.5,1.4,1.2,1,1.9,0.94,1.3,2.2,3.2,0.21,1.5,1.1,1.1,2.3,1.4,0.34,0.79,0.84,0.91
"NUP188",1,1.4,1,0.77,0.99,1,1.2,0.84,0.77,0.85,2.1,0.71,1.3,1.1,2,1.6,1.1,1,2.4,0.95,1,2.2,1.7,1.7,1.3,1.5,0.91,0.52,0.46,0.48,0.7,1.3,2.4
"NUP205",1,1,1.4,0.68,0.84,0.92,0.34,0.97,1.1,0.79,9.5,0.97,1.4,1.2,1,1,1.2,0.84,1.4,0.75,0.94,1.7,3.5,1.7,1.2,1.1,1,1.8,0.9,0.22,1.4,0.79,3.8
"NUP210",2.8,0.86,1.1,0.99,0.51,0.76,0.68,1.2,1.2,0.89,3.8,1.2,2,1,1.7,1.6,1.1,1,2.1,0.93,0.91,2.7,1.8,0.85,0.77,0.91,1.2,1.3,2,0.24,1.4,2.3,0.67
"NUP210L",5.7,0.73,1,1.1,0.56,1,1,1.4,0.93,1,1,1.4,1.3,0.92,1.2,1,0.66,1.2,1.5,0.97,0.71,1.4,0.84,1,0.79,0.93,0.96,0.39,0.71,0.73,1.4,0.62,2.3
"NUP214",4.2,0.91,0.87,0.57,1,1.8,0.86,0.68,0.92,1,0.42,0.87,0.82,1.4,1.5,1.5,1.1,0.97,1.2,0.98,0.55,0.18,2,0.89,0.94,1.2,1,0.31,1.3,0.38,1,1.8,1.2
"NUP35",2.5,0.99,0.99,0.95,0.63,0.8,0.84,0.93,0.93,0.88,3.9,0.62,2.3,0.97,1.3,1.2,1.5,0.85,0.69,0.8,1.4,1.2,2.7,1.3,0.91,1.2,1,0.32,1.4,0.5,0.83,0.73,1.4
"NUP37",1.6,1,1.3,1.2,1,0.72,1.6,1.2,1.4,1.5,3.8,0.86,1.6,1.7,1,1,1.6,0.93,1.6,1.2,1.5,1.9,0.3,0.28,0.97,1,0.81,2.9,1.4,0.73,0.56,1.6,1.4
"NUP43",1.4,1.1,1,1.2,0.82,1.1,0.51,0.92,0.82,1,9.9,0.59,1.3,1.2,1.3,1.5,1.5,1.1,1.6,1.1,0.96,0.92,2,0.49,1.1,1,0.89,1.9,1.7,0.36,0.94,1.3,1.3
"NUP50",2.7,0.96,1.1,0.81,0.83,0.95,1.3,0.84,0.83,1,3.8,0.64,1.6,0.85,0.96,1.6,1.4,0.89,1.6,1.2,1.2,1.1,1.2,0.53,1.6,1.1,0.9,3.2,1.8,0.11,0.38,0.74,1.7
"NUP54",2,0.75,1.2,1.1,0.69,0.6,2.4,0.91,1.1,0.98,2.4,0.62,1.1,1.1,1.7,1.4,1.4,0.97,1,1,1.5,1.8,1.9,0.3,0.81,0.97,1,0.71,1.8,0.54,0.5,1.1,1.3
"NUP62",4.4,0.91,1.2,0.99,1.2,0.82,1.2,0.86,1.1,0.79,2.1,0.73,2.7,1.3,1.9,1.5,1.2,0.94,2,1.1,0.81,0.91,2.7,0.71,1.7,1.3,0.92,0.43,1.3,0.37,0.97,1.2,1.5
"NUP62CL",0.79,0.9,1.5,0.55,0.65,0.93,1.2,1.1,1.1,1.1,3.8,0.64,1.5,1,1,0.89,1.8,1.1,0.86,0.92,1.3,0.99,1.2,0.62,0.93,0.97,0.88,0.67,2.1,3.1,1.3,1.3,0.56
"NUP85",3.8,0.92,1.1,0.62,1.9,0.73,1,0.7,1.3,0.89,9.3,1.8,1.5,0.96,1,2,1.3,0.9,1.5,0.85,0.89,1.7,3.7,0.5,1.2,1.2,0.83,0.45,0.79,0.32,1.4,0.81,3.1
"NUP88",2.8,1.3,1.2,0.58,2.6,1.1,1.6,1.2,0.77,1,3.3,1.3,1.2,1.7,1.2,1.2,1.3,0.9,1.2,0.91,0.74,0.51,4.3,0.68,1,0.81,1.2,2.3,1,0.79,0.46,0.86,6.6
"NUP93",3.1,0.98,1,0.55,1.7,1.3,0.59,0.9,1,1.1,1.4,1.6,1,2.2,1.7,1.7,1.3,0.97,2,0.97,0.96,1.2,1.4,1.1,1.4,1.5,1.2,1.3,1.6,0.21,0.89,0.86,1.4
"NUP98",2.6,1.3,1,1.1,1,0.89,1.2,1.2,1.2,1,8.5,0.64,1.3,1,1.3,1.6,1.2,1.2,1.5,1.2,1.4,5.7e+08,2.2,0.55,1,0.86,1.1,0.74,2,1.5,0.83,0.76,3
"NUPL2",1.8,0.9,1.5,0.99,0.58,1.2,1.5,1.1,1,1.2,4,1.2,1.5,1,1.4,1.1,1.3,0.8,1.4,0.89,0.71,4.1,1.5,0.4,0.82,0.79,0.96,1,1.3,1.2,1,0.96,1.9
"NUPR1",0.47,1.1,1.7,0.77,1.2,1.4,0.35,0.97,1.5,0.75,1.9,1.3,1.4,1,0.76,1.4,0.79,0.93,0.78,1.2,1.1,0.45,0.37,1.8,0.64,0.72,1.1,3.1,1.9,2.8,1.3,1.3,0.83
"NUS1",3,1.2,1.2,2,0.88,0.99,2.6,1.1,0.98,1.1,3.5,0.61,1.2,1.2,1,1.5,1.3,0.89,1.9,0.95,1.1,1.1,1.2,0.43,1.2,0.85,1.2,3,1.1,0.98,0.7,1.2,1.6
"NUS1P1",1.8,1.5,1.5,2.4,0.56,0.82,2.2,0.75,1,0.94,3.8,0.63,1,0.86,1.6,1.2,1.3,1.4,1.5,1.1,1.3,2,0.76,0.43,1.1,1,1.1,2,1.3,1.4,1.1,1.1,1.1
"NUS1P2",1,1,1.1,0.88,1,1,1.2,0.77,0.98,0.93,1,0.92,0.59,1,0.83,1,1.3,1.1,1.4,1.1,1.1,1.1,0.65,1.6,0.95,1,1.3,0.89,0.69,4.9,1.8,0.77,1
"NUSAP1",2.3,0.99,1.1,0.85,1.5,0.98,1.2,0.96,1,0.9,3.5,1.1,3.4,1.3,1,1.6,1.7,0.93,1,1.1,1.8,4.8,5.6,0.63,1.4,1.1,1.1,0.44,1.2,0.085,1.3,0.8,1.8
"NUTF2",4.2,0.96,1.4,1.5,0.72,0.86,0.8,0.79,0.86,1,0.48,1.5,1.5,1.2,1.5,1.7,1.5,1.2,2.4,0.98,1.4,1.5,1.9,1.5,1.2,1.3,1.2,1.9,1.3,0.24,0.78,1.1,2.2
"NUTF2P2",1,1,1,1,1,1,1,1.3,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NUTF2P6",1,1,1,1,1,1,1,0.92,1.1,1,1,1.4,1,0.94,0.93,1,1,1,1,1,1,0.9,1,1,1,1,1.1,1,1,1,1,1,1
"NUTF2P7",1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"NUTM1",1,1,1,1.3,1,1.5,0.93,0.95,1,1,1.9,1,1,1.1,1,1,1,0.87,1,1.1,0.98,1,1,1.8,1,1,0.94,0.42,1,1,1,1,1
"NUTM2A",0.97,1.2,0.94,1.2,1.7,0.67,2.4,1,0.85,1.1,0.53,0.96,0.69,0.99,0.55,0.7,1,0.94,0.8,1.1,0.87,2,0.81,1,0.62,1.1,1,0.35,2.4,2,0.34,0.5,1.1
"NUTM2B",2,0.87,0.91,0.9,0.95,0.74,2.4,1.3,1,1,0.54,1.1,0.88,1.1,0.68,0.79,1.1,1,0.98,1.1,0.86,1.2,0.52,0.62,0.75,1,0.99,0.36,2,0.22,0.8,0.58,0.48
"NUTM2D",0.92,0.94,1,0.88,0.59,1.4,1.6,0.99,1.2,0.88,0.59,0.86,0.76,1.1,0.5,0.84,1,1,0.64,1.1,0.81,5,0.53,0.64,0.78,0.87,1.3,0.47,1.8,0.55,0.72,0.59,0.53
"NUTM2E",1.7,1,0.98,0.9,0.53,0.91,1.3,1.2,0.97,1.2,2.4,1.1,0.55,1.3,0.78,1,0.96,0.93,0.76,0.97,0.86,0.95,1.4,1.4,1.1,0.88,0.9,0.49,0.8,3.6,0.63,0.82,1.3
"NUTM2F",1,0.95,1,1,0.74,1.4,1,0.68,1,1,1,0.89,0.94,1,1,0.65,1,0.86,1,1,1.2,1,2.2,0.78,1,1,0.98,0.41,1,1,1.2,0.88,1
"NUTM2G",3.7,0.93,0.98,1.1,0.44,1.1,1.7,1.4,1.2,0.79,1.7,1.1,1,1.4,1.4,0.83,0.93,0.9,1.1,1.1,0.83,5.8e+08,5.7,0.73,0.93,1.2,1.1,1.4,0.8,0.25,1.1,1.2,1.7
"NUTM2HP",1.9,0.76,1.2,1.2,0.85,1,3.4,0.64,0.93,1,0.8,0.99,1.2,1.3,0.5,0.92,1,1,0.8,1,0.55,8.6e+08,0.83,1.5,0.9,1,1.1,0.94,0.59,4.4,0.46,0.62,0.81
"NVL",1,1,0.97,0.76,1,1.5,1.5,1.4,0.99,0.79,4.2,1.7,1.6,1.2,1.3,1.5,1.1,0.83,1.6,0.85,0.72,0.48,0.53,1.2,0.72,1,1.1,0.36,0.99,0.3,0.85,0.7,1.3
"NWD1",1.2,1.1,0.86,0.83,1.5,1,4.1,0.8,1.1,0.68,3.4,0.75,1,0.8,0.88,1,0.82,1,1,1,1.2,1,1.2,0.5,0.98,1,0.86,1,2.3,5.9,1.1,0.77,0.72
"NWD2",1,0.75,0.83,0.92,0.88,1.2,1,1.6,0.98,0.87,1,1,1,1.1,0.77,1.1,1,0.95,1,1,0.9,1,1,0.89,1,1,1.3,1,1,1,1,0.73,1
"NXF1",4.4,1,0.98,0.49,1.9,1.5,0.68,0.94,1.2,0.78,2.1,1.5,0.76,1.4,1.4,1.5,0.88,0.75,0.77,1.1,0.77,0.98,3.6,1.1,0.97,0.95,1.4,0.33,0.47,0.14,0.6,0.47,1.1
"NXF2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1,1,1,1,1,1,1,1,2.1,1,1,1.6,0.8,1
"NXF2B",0.55,1,1,1,1,1,1,1.4,1,1,1,0.74,1,1,1,1,0.95,1.2,1,1,0.47,0.75,1,1,1,1,1,2.3,1,1,1.2,0.98,1
"NXF3",0.96,1.1,1.4,1.1,1.9,0.87,0.55,0.88,1.7,1.1,1.1,1.1,1.2,0.92,1,1.1,0.77,1,1.1,0.93,1,0.51,1.6,0.84,0.94,0.99,1.3,0.24,0.97,4.3,1.1,1.1,1.1
"NXF4",1,1,1,1,1,1,1,1,1.1,1,1,1,1,1,0.77,1,1,1,1,1,1,0.27,1,1,1,1,1,0.47,1,1,1,0.7,1
"NXF5",0.42,1,0.94,1,1,1,1,1,0.72,1,0.59,1,0.93,1,1.4,1,1,1,1,1,1,1.2,1,1,1,1,1,1,2,1,1,1,1
"NXN",4.6,1.4,1.1,1.3,0.83,1.5,0.5,0.69,1.2,1.1,1.4,0.9,1.1,0.87,0.76,0.93,0.97,1.1,2.5,1,0.86,5.9,2.4,2.8,1.2,1.1,1.3,0.69,0.65,2,0.88,1.2,2.9
"NXNL1",0.85,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.43
"NXNL2",1.8,0.86,0.63,1.2,0.94,1,1.7,0.91,1.4,1.2,0.95,0.62,0.62,1.4,0.88,1.1,1.7,1.2,0.64,1,1.2,1,0.45,1.7,1,1.3,1,2.3,1.1,0.78,0.35,0.74,1.1
"NXPE1",1,1,1,1,1,0.55,1,1,1,1,1,1,1,0.95,1,1,1,1,1,1,1,1,0.36,0.37,1,1,1,1,1,1,1,1,1
"NXPE2",1.4,1,1.1,1,1,0.57,1,1.1,0.97,1,2.4,0.97,1,1,1.1,1,1.3,1,1.4,1.1,1.1,4,0.71,0.4,0.86,1,1.3,1,1,1,0.64,0.84,1
"NXPE3",1.6,1.4,1.1,1.3,0.58,1.1,2.3,0.94,1.1,1.2,4,0.77,1.2,1.4,1.2,1.1,0.81,0.8,1.6,1.1,0.67,5.6,0.75,0.86,0.78,0.69,0.99,0.45,0.72,0.23,1.5,0.76,1.2
"NXPE4",1,1,0.73,1,1,0.72,1,1.3,1,1,1,1.2,0.35,0.96,1,1,0.81,1,0.63,1,0.93,1,0.56,0.34,1,1,1.3,1,1,1,0.81,1,1
"NXPH1",0.56,1.2,1.1,1,1,1.1,1,1.3,0.9,1,1,1,1,1,0.55,1,1.5,1,1,1,0.56,1,1.8,0.34,1,1,1.3,0.59,1,0.57,1.3,0.8,1
"NXPH2",1,1,1,1,1,1,1,1,0.74,1,0.32,1,1,1,1,1,1,1.3,1.1,1.2,1.3,1,1,1,1.1,1,1,1,1,1,1,0.75,1
"NXPH3",1.1,1.3,0.83,0.83,0.63,1.6,0.9,0.92,0.94,1,2.1,0.75,1.2,0.83,0.71,1.1,0.86,1.1,0.79,1.1,0.79,0.23,0.86,1.2,0.7,0.9,1.2,0.73,0.65,1.5,1.6,0.76,2
"NXPH4",1,1.5,1.5,0.91,1.7,1.6,0.5,1,1.5,0.83,2.2,1,1,1,0.9,1.5,1.1,0.88,1.5,0.94,0.66,2,1.4,2.5,1.4,1.3,1.1,0.35,1.4,2.1,1.2,0.59,3.5
"NXT1",1.4,1.1,1,1.2,1.2,1.5,0.33,1.2,1,1,0.8,1.3,2.5,1.2,1,1.4,1.1,1,1,0.9,1,0.83,1.8,0.79,1.2,1.2,1.1,1.9,2.4,1.3,0.55,1.6,2.8
"NXT2",2.3,0.96,1,0.86,1.4,1.2,1.8,1.3,0.64,0.99,3.7,0.71,1.4,1.2,1.2,1.4,1.1,1,0.88,0.78,1.3,4.8,0.74,0.37,1.8,0.78,0.81,0.43,1.2,0.69,1.2,1.6,0.99
"NYAP1",1.5,0.91,1,1.8,1.2,1.4,2.6,0.46,0.98,0.98,0.32,1.1,0.89,1.4,0.92,1.2,1.2,0.97,0.81,1.2,0.58,0.27,0.53,0.76,1.5,0.99,1,0.35,1.5,0.74,1,0.92,0.88
"NYAP2",1,0.99,1,1.1,1,1,2,0.99,1.1,0.9,1,1,1,1,1,1,0.85,1.1,1,1.2,0.93,4.4,1,1,1,1,1.1,0.82,2,1,1.8,1,1
"NYNRIN",1.9,1.1,1.4,0.99,0.6,0.74,1.8,1,1,0.88,0.7,0.71,1.2,1.6,1.5,0.95,0.9,0.84,0.78,1.1,0.84,1.3,0.58,0.44,0.89,1.5,1.2,1.3,1.3,1.5,1,0.77,1
"NYX",1,1,1,1,1,1,3.3,1,1,1,1,0.64,1.3,1,0.9,1,1,1,1,1,1,1,1,1,1,1.3,1,2.5,1,1.1,1.2,1.2,0.49
"OACYLP",1.1,1.2,1.1,1.4,0.84,1,0.95,1.1,1.5,0.9,4.1,1.3,2.3,1,1,1.6,1.1,0.72,1.3,0.78,1.6,0.63,0.88,0.95,0.89,1.2,1.2,0.74,0.46,1,1.3,1.1,1
"OAF",1.1,1,1,1.3,0.93,0.93,1.1,0.97,1.5,1.4,0.55,0.73,0.79,1.2,1.7,0.79,1.1,1.2,1.7,0.9,1.4,1,0.74,0.79,0.85,1.3,0.92,5.9e+08,1.2,1.1,0.68,0.81,4.2
"OARD1",1.3,1.1,0.96,1.2,1.1,1.3,0.31,1.1,0.96,1.1,2.3,1,0.87,1.2,0.97,1.4,1.2,0.94,0.48,0.86,0.83,1.2,1.1,0.46,1.3,1.2,1,0.24,1.2,0.13,0.86,0.62,0.33
"OAS1",3,0.68,1.1,0.93,0.53,1,2.8,1,1,1.1,1.8,0.78,0.86,1.7,1,1.5,1.5,1.2,0.68,0.88,1.5,0.63,0.33,0.73,0.71,1,0.81,6e+08,0.61,7.7,1.2,0.92,3.8
"OAS2",1.6,0.85,0.99,0.74,0.59,1.3,3.2,0.84,1.3,1.2,0.42,0.8,1.9,1.5,1,0.95,1.3,1.2,0.78,0.8,1.5,0.19,1.4,1.1,0.82,1,0.88,6.1e+08,1.6,2.5,1.2,0.97,1.9
"OAS3",3.9,0.93,1,0.9,0.67,0.93,2.8,0.93,1.2,1.2,7.4,0.84,1.5,2.4,1,1.2,1.4,1.3,0.88,0.83,1.7,1.4,0.94,0.54,1.1,0.8,0.76,5.8e+08,1.1,8.1,1.5,1.1,1.6
"OASL",2.5,0.96,0.96,0.77,0.96,1.1,0.91,1,1.1,0.94,0.82,1.5,0.97,1.3,1.9,0.96,1.2,1.3,0.74,0.83,1.8,1,0.73,0.77,0.95,1,1.2,5.7e+08,0.66,5,1.5,1.2,3.6
"OAT",0.92,1.4,1.3,0.81,1.3,1.4,1.1,1,0.96,0.98,1.3,0.7,1.1,1.6,1,0.85,0.84,0.87,0.77,1.2,1.2,0.61,2.3,1.2,1.2,1.1,0.98,2.8,2.7,1.6,1,1.9,1.3
"OAZ1",2.4,0.95,1.1,0.73,0.44,1.1,0.45,0.69,0.85,0.92,2.2,1.1,0.66,1.4,1,1.7,1,0.86,1.5,1.1,0.63,1.2,1,0.52,0.94,0.68,0.85,0.34,1.6,0.54,0.54,0.92,1.3
"OAZ2",1.1,1.3,1.1,1,0.76,1.3,0.55,1.2,1.2,1.1,0.86,0.58,0.92,1.7,0.86,0.93,0.89,1,0.86,1.2,0.73,0.5,0.32,1,0.67,1,1.1,1.3,0.82,0.88,1.1,0.86,2.1
"OAZ3",1.5,0.94,0.93,0.89,1.1,0.94,0.61,1.2,1.2,0.79,4.7,1.1,1.1,1.7,1.3,1.3,1.1,0.98,1.5,0.66,0.84,1.2,0.98,2.6,0.95,1.4,0.98,0.34,0.95,9.5,0.9,1.2,0.66
"OBP2A",1,0.99,0.88,1,1,0.92,1,1.1,1,1.2,1,1.7,1,1,1,1,1,0.99,1.6,1.1,1.2,1,1,1,1.3,0.93,1.1,2.2,1.3,1,0.86,1.3,1
"OBP2B",1,1,0.88,1,1,1.1,1,1.2,1,1,1,1,1,1,1,1,1,1,1.1,1.1,0.79,1,2.6,0.91,1,1,1,1,0.7,1,0.45,2.2,1
"OBSCN",1.2,0.7,0.98,1.1,0.98,1.3,3.7,0.76,1.4,1.1,0.91,1,1.5,1,1.6,1.5,1,0.91,0.71,1,0.82,0.44,1.9,1.1,1.1,1.3,1.2,1.3,0.65,1.7,1.7,0.79,1.2
"OBSL1",1.8,1.1,1.4,1.4,1.8,1,1,0.88,1.3,1.1,1.4,0.88,1.5,0.95,1.1,0.78,1.2,1,0.76,0.92,0.67,0.5,1.2,0.96,1.1,0.89,1.2,1,0.73,1.2,0.63,1,0.58
"OC90",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1,1,0.53,1,1,1,1,0.93
"OCA2",1.1,1.2,0.8,0.8,0.72,1.2,0.87,0.93,1.4,0.87,0.82,1.3,1.6,1,1.3,0.92,0.82,1,0.82,0.92,0.95,0.24,0.38,0.54,1.4,1,1,1.1,1.1,1.5,1,0.68,1.1
"OCEL1",1.2,0.85,0.94,0.86,0.63,1.4,0.99,1.1,1,0.85,0.87,0.93,1.1,1.5,1.3,0.73,0.9,0.98,0.88,0.83,1.2,0.36,0.75,1.9,0.8,0.88,0.97,0.45,2.7,0.34,1.2,1.4,1.6
"OCIAD1",1.1,0.84,1.2,1.4,1.1,0.84,1.4,0.72,1,1.1,1.9,1,0.89,1.1,1.1,1,1.5,0.91,0.62,0.82,1,1,2.1,0.51,1.1,0.89,1,0.55,1.5,0.46,0.72,0.51,1.4
"OCIAD2",1,0.81,1.2,1.3,1.3,1,0.92,0.88,0.98,1.3,3.9,0.55,0.39,1.5,1,1.2,1.3,1,1.3,0.85,1.6,4.2,2.2,0.49,0.76,0.78,0.92,1.3,0.64,0.12,0.66,0.69,1.4
"OCLM",1.3,0.89,0.88,1.8,0.86,0.91,1.1,1.2,0.87,0.91,1.8,1.3,1.8,0.95,1,0.92,1.1,1.2,1.1,0.92,1.3,2.7,1.2,1,0.97,1.1,1,1,1.8,1.1,0.97,0.89,2
"OCLN",1.6,1.1,1.1,1.3,0.51,0.82,1.8,1.1,0.78,0.86,1.2,1,0.66,1.6,1.1,1.1,0.83,1.3,1,1,1.3,0.84,1.5,0.48,1.1,1.1,0.99,2.1,0.92,1.3,0.8,1.1,0.72
"OCM",1,0.66,0.86,0.6,0.83,1.3,0.25,0.88,1.4,0.9,1,1.1,0.55,1.2,1.2,0.64,0.82,0.84,0.8,1.2,0.69,1.2,1.6,0.63,0.66,0.87,1.1,1,1.4,5.7,0.8,1.2,0.92
"OCRL",0.64,0.92,1.6,1.5,0.74,0.78,1.2,1,0.98,1.1,3.9,0.73,1.2,1.2,1.4,1.4,1.2,1.2,1.4,1.2,0.98,6.9,0.57,0.26,1.1,0.98,1.1,0.44,1.2,2.9,0.95,1.7,0.66
"OCSTAMP",1.2,1,1,1,1,0.78,0.89,1,1.1,1,1,1,1,1,1,1,0.92,1.1,0.73,1,1,1,1,1.4,1,0.76,1,2,0.7,1,1,1,1
"ODAM",1.5,0.87,0.83,0.87,1.3,0.97,1,0.88,1,0.76,1.7,1,1,1,1,0.97,0.68,1.2,1.3,0.93,0.97,0.52,0.94,0.82,1,1,0.86,1,2.1,1,1.1,1.8,1
"ODC1",1.3,1.1,1,1.1,1.1,0.86,0.44,0.96,0.94,0.9,9.9,0.6,0.82,1.2,0.91,1.4,1.1,0.87,2.2,0.94,1.2,0.98,0.39,0.26,1.6,0.98,0.97,2.3,0.65,0.82,0.93,1.2,1.6
"ODCP",2.3,1,1,1.9,0.51,1.3,1.1,0.88,0.86,0.83,2,1.7,1.7,0.51,1.2,0.97,1.4,1.1,1.8,0.84,1.5,6.5,4.8,0.92,1.7,1,0.95,2.9,5.6,1.4,2.6,1.3,1.1
"ODF1",1,1,1,1,1,1,0.63,1,1,1,1,1,1,1,0.78,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"ODF2",3.9,1.1,1.3,1,1.1,1.1,1.2,0.88,0.93,1.1,1.4,0.77,1.2,1.6,1,1.2,1,1.2,1.9,1.1,1,2.7,2.5,0.51,1.9,1.1,0.83,0.55,1.1,0.17,0.51,1.1,1
"ODF2L",1.9,0.73,0.95,1,0.94,1.2,1.2,1.4,1.3,0.77,4,1.2,1.2,1.5,1,0.98,1.2,1.1,1.3,1,0.94,0.81,2.1,0.54,1.3,0.81,1,0.41,1.6,1,1.1,0.87,1.2
"ODF3",1,1,1,1,1,1,1,1.2,1,1,1,1,1,1.2,0.96,1,1,1,1,1,1,1,1,1,1,1,0.88,0.44,1,1,1,1,1
"ODF3B",2.8,0.97,0.85,0.64,1,1.2,1.1,0.8,1.2,0.75,0.4,1.3,0.58,0.79,1.4,0.72,0.82,1.3,0.67,0.99,1.2,0.36,0.96,1.3,0.69,0.68,0.91,9.7e+08,2.1,10,0.92,0.65,2
"ODF3L1",1.5,1.2,0.76,0.77,0.84,1.2,4,0.93,1.4,1.1,1.8,1.3,1.2,1.5,1.6,1,1.1,1,1.5,1,0.71,1.8,0.93,0.77,0.91,0.82,1.2,5.3e+08,4.1,1.5,1.2,0.45,4
