"Gene","ACC_HR","BLCA_HR","BRCA_HR","CESC_HR","CHOL_HR","COAD_HR","DLBC_HR","ESCA_HR","GBM_HR","HNSC_HR","KICH_HR","KIRC_HR","KIRP_HR","LAML_HR","LGG_HR","LIHC_HR","LUAD_HR","LUSC_HR","MESO_HR","OV_HR","PAAD_HR","PCPG_HR","PRAD_HR","READ_HR","SARC_HR","SKCM_HR","STAD_HR","TGCT_HR","THCA_HR","THYM_HR","UCEC_HR","UCS_HR","UVM_HR"
"BZW1",1.5,1.2,1,1.7,1.2,0.68,2.2,0.83,1.1,0.95,2.1,0.62,1.3,0.98,1.6,1.4,1.5,1.2,1.1,1.1,1.9,0.93,2.7,0.73,1.2,1.2,1.1,0.42,1.9,0.46,0.82,0.96,0.83
"BZW1P1",1,1,1,1,1,1,1,1.4,1.7,1,1,1,1,0.76,1,1,1,1,1,1,1,1,1,1,1,1,0.87,1,1,1,1,1,1
"BZW1P2",1.9,1.2,1,2.3,0.65,0.67,1.5,1.2,0.97,0.96,2.1,1,1.5,1.2,1.4,0.99,1.3,1.2,1.5,0.94,1.6,1,2.8,0.68,1.3,1,1.3,0.44,1.4,0.83,0.8,1,0.98
"BZW2",1.9,1.3,1.2,1.3,0.61,1.3,0.64,1.2,1.1,1.4,5,0.97,1.5,1.1,1.1,1.6,1.6,0.77,2.6,0.82,1.8,4.6,3.3,0.8,1.8,1.3,0.87,0.71,2.2,0.2,0.69,1.3,0.94
"C1D",1.3,1.1,1.3,1.4,0.74,1.1,1.5,1.2,1.1,1.2,3.3,1,1,1.1,1.3,1.4,1.4,0.76,0.97,1,1.3,0.84,3.3,0.5,1.3,0.78,1.2,1.4,1.6,0.69,0.92,0.8,0.78
"C1DP1",1,1.2,1,1.4,0.66,0.91,1.1,1.1,1.2,1,2.2,0.62,1.1,1.7,0.92,0.96,1.1,1,0.85,1.1,1.1,0.57,1.1,1.5,0.75,0.79,0.98,1,0.42,1.5,0.88,0.82,2.6
"C1DP2",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.78,1,1,1,1,1
"C1DP5",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C1GALT1",1.6,1.3,1.1,1.4,0.82,0.97,2.3,1,0.99,1.1,2,0.68,1.2,0.99,1.6,1.5,1.4,1.1,0.82,1.3,1.3,1.4,1.5,0.54,1.3,0.91,0.91,0.39,1.3,1.4,1.2,0.95,0.85
"C1GALT1C1",0.61,1,1.7,1.2,1.3,1.1,1.1,1.5,1.4,1.1,2.8,1,1.3,0.82,1,1.3,1.2,1.1,0.67,1.1,1.4,2.3,0.46,0.87,1,0.69,0.92,0.52,1.1,0.84,0.97,1.5,2.3
"C1GALT1C1L",3.2,0.9,0.98,1.1,1.1,1.4,1.6,1.1,0.99,0.99,0.94,0.8,1.1,1.3,1.6,1.4,0.95,1.2,1.3,0.91,0.88,0.94,0.81,0.45,1,0.85,1.7,0.51,1.3,0.15,0.91,0.98,1
"C1GALT1P1",2.7,0.77,0.81,1.2,1.2,1.7,2.1,1.2,1.1,0.86,1,1.8,0.86,1.8,0.56,1.1,0.83,0.84,1.4,0.99,0.66,0.97,1.4,0.82,1.4,0.79,0.83,0.45,0.58,2.6,0.82,0.61,1
"C1GALT1P2",1,1,1,1,0.66,1,1,1,1,1,1,1.8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.4,1,1,1,1,1
"C1QA",0.78,1.1,1.1,0.63,0.37,1,1.6,1.5,1.1,0.98,0.57,1.3,0.92,1.1,1.7,1.1,0.94,1.2,0.74,0.97,1.3,1,0.78,1.5,0.7,1,1.2,4.3,0.98,4,0.92,0.92,4.7
"C1QB",0.97,1.2,1,0.69,0.66,0.9,1.7,1.5,1.3,1.1,0.39,1.1,0.98,1.1,1.8,1.1,0.93,1.3,0.68,1,1.3,2.1,0.56,1.5,0.67,1,1.2,4.3,0.86,3.9,0.79,0.89,5.9
"C1QBP",1.4,0.9,1.3,0.92,2.7,0.86,1.3,0.93,1.1,1.4,4.3,0.99,1,1.4,1.4,1.4,1.8,0.95,1.3,0.95,0.78,2.2,3.5,1,1.5,1.3,0.9,2.1,1.3,0.2,0.45,1.8,2.9
"C1QBPP2",1,1.1,0.73,2,0.85,1.3,1,1,1.1,0.84,1,1,1.2,1.5,0.99,1,0.94,0.83,1,0.92,1.1,1,0.72,1,1,1,1,1,0.73,0.51,1.6,1,1
"C1QC",0.82,1.3,1.1,0.86,0.4,1.3,1.6,1.4,1.1,0.93,0.91,1.1,1,1.2,1.6,1.2,0.95,1.3,0.82,0.93,1.3,0.97,0.88,1.4,0.66,1,1.2,6.1e+08,0.55,8.5,0.86,1,6
"C1QL1",4.6,1,0.93,1.1,1.4,1.2,0.41,1.1,0.94,1.2,1.4,1.5,2.1,1.5,0.55,1.1,1.4,0.85,1.7,1,0.63,1,1,0.71,1.4,1.1,1.4,0.51,0.49,0.43,2.1,1.3,2.8
"C1QL2",2.2,1,0.82,1,1,1,1,1,1,1,1,1,1,1,0.84,1,0.74,1,1.2,1.2,0.72,1.3,1,1,1,1,1,1.9,0.9,1,2,1.5,1
"C1QL3",1,0.88,1.1,1.2,0.53,0.86,3.8,1.2,1.3,1,1,0.57,0.45,1,0.89,1.1,1.1,1.1,0.7,1.2,0.82,1.1,1.3,0.87,0.68,0.83,0.91,4,1.3,0.36,1.9,1.2,1.1
"C1QL4",3.3,1.3,1.2,1.1,0.56,0.95,1,1.2,0.91,1.3,2.3,0.8,1.1,1,1,1.5,1.5,0.92,2.2,0.81,0.83,0.91,0.67,1,1.4,1.3,1.2,1,1.3,0.6,0.78,1,0.57
"C1QTNF1",1,1.4,0.97,1.5,1.1,1.3,1.1,0.84,1.3,1,0.57,1.7,0.84,0.73,1.5,0.95,0.91,1.2,0.84,1.2,0.81,0.46,0.54,0.98,0.77,0.92,1.2,0.44,1.8,1.3,0.95,1.1,2.6
"C1QTNF12",1,0.81,0.85,1,1.3,0.99,1.2,0.72,0.99,1.1,1.9,1.1,0.79,1.6,0.91,1.1,1.2,1,0.97,0.91,1.3,0.46,2.7,0.32,1.2,1.1,0.99,2.3,0.79,0.18,1.3,0.94,0.38
"C1QTNF2",4.1,1.4,1.3,1.2,0.76,1,0.21,1.1,1.5,0.87,1.1,1.1,1.4,1,1.8,1,0.9,1.1,2.1,0.96,0.85,1,1.7,0.54,0.67,0.82,1.6,5.9e+08,1.7,1.6,1.3,0.45,3.2
"C1QTNF3",2.5,1,1.1,0.71,0.77,1.2,1.1,0.97,0.75,0.86,6.3e+08,0.88,1.9,0.7,1.1,1.1,0.76,0.92,1.2,1.2,1.7,0.93,0.88,1.1,0.94,0.78,1.3,2.9,4.2,0.12,1.2,0.91,2.3
"C1QTNF4",1.9,0.91,0.71,0.85,1.8,2.1,1.1,1,1.3,0.8,1.2,1.2,1.5,1,0.69,1.1,0.9,1.1,1.3,0.89,0.56,1.9,1.3,1.3,0.84,1.1,1.6,0.37,1.1,0.39,1.2,0.73,0.99
"C1QTNF5",1.7,1.4,1.2,0.94,1.3,1.9,0.9,1,1.2,1.2,0.91,0.74,0.88,0.99,0.71,1,0.97,1.3,2.1,0.98,0.98,0.35,0.43,2,0.89,1.1,1.3,2.4,1.6,0.66,1.3,0.93,1.9
"C1QTNF6",1.6,1.5,0.92,1.5,1.5,1.1,0.93,0.79,1.4,1.3,2.2,1,2.3,2.1,1.3,1.3,1,1.1,2.2,0.84,1.3,0.2,2.7,1.3,0.85,1,1.2,3.1,1.6,0.99,0.75,0.74,2.5
"C1QTNF7",2.4,1.1,1.3,0.78,0.48,1.4,1.1,1.4,0.85,0.81,1.5,0.64,2.1,1.3,1.4,0.98,0.75,1.2,1.3,1.1,1,0.22,0.94,0.92,0.64,0.87,1.4,3.3,2,0.56,0.69,0.92,1.4
"C1QTNF8",1,1,1,1,1,1,1,1,0.93,1,1,1,1,1,0.81,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"C1QTNF9",0.56,0.99,0.74,1,0.55,1.4,0.96,0.97,1.1,1.1,0.52,0.78,0.56,1,1.7,0.89,0.77,1.2,1,0.98,0.66,0.63,1.2,0.78,0.69,1,1.4,3.2,1.3,0.61,1.2,0.88,1
"C1QTNF9B",0.96,1.2,0.9,0.95,2.1,1.9,2.1,0.77,1.1,1.2,0.68,0.73,0.55,1.1,1.6,1.2,0.59,0.89,2.1,0.92,0.65,2.3,1.6,1.4,0.91,1.1,1,1.3,0.73,0.41,0.79,0.81,0.85
